id,year,percent,majortopic,Congress
1346,1995,0.0483092,20,104
1347,1996,0.0642347,20,104
1348,1997,0.0457928,20,105
1349,1998,0.0750853,20,105
1350,1999,0.0519903,20,106
1351,2000,0.0737832,20,106
1352,2001,0.0428065,20,107
1353,2002,0.0379715,20,107
1354,2003,0.0402484,20,108
1355,2004,0.0503265,20,108
1356,2005,0.0619081,20,109
1357,2006,0.0720749,20,109
1358,2007,0.0679138,20,110
1359,2008,0.053246,20,110
1360,2009,0.056497,20,111
1361,2010,0.080164,20,111
1362,2011,0.080796,20,112
1363,2012,0.099494,20,112
1364,2013,0.149267761,20,113
1365,2014,0.144271878,20,113
1366,2015,0.137586103,20,114
1367,2016,0.131118541,20,114
1368,2017,0.154469888,20,115
1369,1946,,21,79
1370,1947,0,21,80
1371,1948,0,21,80
1372,1949,0,21,81
1373,1950,0,21,81
1374,1951,0,21,82
1375,1952,0,21,82
1376,1953,,21,83
1377,1954,0,21,83
1378,1955,,21,84
1379,1956,0,21,84
1380,1957,0,21,85
1381,1958,0,21,85
1382,1959,0,21,86
1383,1960,0,21,86
1384,1961,0,21,87
1385,1962,0,21,87
1386,1963,0,21,88
1387,1964,0.000267094,21,88
1388,1965,0,21,89
1389,1966,0,21,89
1390,1967,0,21,90
1391,1968,0,21,90
1392,1969,0,21,91
1393,1970,0,21,91
1394,1971,0,21,92
1395,1972,0,21,92
1396,1973,0,21,93
1397,1974,0,21,93
1398,1975,0,21,94
1399,1976,0,21,94
1400,1977,0,21,95
1401,1978,0,21,95
1402,1979,0.00120968,21,96
1403,1980,0.000302755,21,96
1404,1981,0,21,97
1405,1982,0,21,97
1406,1983,0,21,98
1407,1984,0,21,98
1408,1985,0,21,99
1409,1986,0,21,99
1410,1987,0,21,100
1411,1988,0,21,100
1412,1989,0,21,101
1413,1990,0,21,101
1414,1991,0,21,102
1415,1992,0,21,102
1416,1993,0,21,103
1417,1994,0,21,103
1418,1995,0,21,104
1419,1996,0,21,104
1420,1997,0,21,105
1421,1998,0,21,105
1422,1999,0,21,106
1423,2000,0,21,106
1424,2001,0,21,107
1425,2002,0,21,107
1426,2003,0,21,108
1427,2004,0,21,108
1428,2005,0,21,109
1429,2006,0,21,109
1430,2007,0,21,110
1431,2008,0,21,110
1432,2009,0,21,111
1433,2010,0,21,111
1434,2011,0,21,112
1435,2012,0,21,112
1436,2013,0,21,113
1437,2014,0,21,113
1438,2015,0,21,114
1439,2016,0,21,114
1440,2017,0,21,115
1441,1946,,25,79
1442,1947,0.163389,25,80
1443,1948,0.099359,25,80
1444,1949,0.173326,25,81
1445,1950,0.0654206,25,81
1446,1951,0.152381,25,82
1447,1952,0.0357143,25,82
1448,1953,,25,83
1449,1954,0.122807,25,83
1450,1955,,25,84
1451,1956,0.132787,25,84
1452,1957,0.0829346,25,85
1453,1958,0.137793,25,85
1454,1959,0.174937,25,86
1455,1960,0.0700259,25,86
1456,1961,0.0755532,25,87
1457,1962,0.101351,25,87
1458,1963,0.131455,25,88
1459,1964,0.115385,25,88
1460,1965,0.0712576,25,89
1461,1966,0.0583153,25,89
1462,1967,0.0391566,25,90
1463,1968,0.0156975,25,90
1464,1969,0.0324074,25,91
1465,1970,0.0571924,25,91
1466,1971,0.0367171,25,92
1467,1972,0.0439716,25,92
1468,1973,0.05026,25,93
1469,1974,0.0486957,25,93
1470,1975,0.0366492,25,94
1471,1976,0.0954198,25,94
1472,1977,0.0544662,25,95
1473,1978,0.0439189,25,95
1474,1979,0.0516129,25,96
1475,1980,0.0451105,25,96
1476,1981,0.0451517,25,97
1477,1982,0.0570292,25,97
1478,1983,0.0760725,25,98
1479,1984,0.0874752,25,98
1480,1985,0.181034,25,99
1481,1986,0.229787,25,99
1482,1987,0.172549,25,100
1483,1988,0.4,25,100
1484,1989,0.138258,25,101
1485,1990,0.130181,25,101
1486,1991,0.107277,25,102
1487,1992,0.149038,25,102
1488,1993,0.0450782,25,103
1489,1994,0.147457,25,103
1490,1995,0.103865,25,104
1491,1996,0.105472,25,104
1492,1997,0.108758,25,105
1493,1998,0.0930034,25,105
1494,1999,0.10723,25,106
1495,2000,0.091047,25,106
1496,2001,0.0787381,25,107
1497,2002,0.081241,25,107
1498,2003,0.0670276,25,108
1499,2004,0.0563724,25,108
1500,2005,0.0597463,25,109
1501,2006,0.0941914,25,109
1502,2007,0.0676129,25,110
1503,2008,0.053112,25,110
1504,2009,0.048938,25,111
1505,2010,0.049174,25,111
1506,2011,0.052363,25,112
1507,2012,0.060493,25,113
1508,2013,0.10336827,25,113
1509,2014,0.083888794,25,113
1510,2015,0.082206245,25,114
1511,2016,0.113761142,25,114
1512,2017,0.160844398,25,115
1513,2018,0.1551512,1,115
1514,2018,0.0672624,2,115
1515,2018,0.0748035,3,115
1516,2018,0,4,115
1517,2018,0.0074975,5,115
1518,2018,0.021508,6,115
1519,2018,0.0244146,7,115
1520,2018,0.004893,8,115
1521,2018,0.0580268,9,115
1522,2018,0,10,115
1523,2018,0.0581042,12,115
1524,2018,0.0351937,13,115
1525,2018,0,14,115
1526,2018,0.0114172,15,115
1527,2018,0.0410712,16,115
1528,2018,0.0104321,17,115
1529,2018,0.0032603,18,115
1530,2018,0.0876694,19,115
1531,2018,0.1623749,20,115
1532,2018,0,21,115
1533,2018,0.1769199,25,115
